"[0.011651992797851562, 0.0008976459503173828]"
"[0.012651920318603516, 0.0008940696716308594]"
"[0.010246038436889648, 0.000858306884765625]"
"[0.010493040084838867, 0.0007650852203369141]"
"[0.010425806045532227, 0.0014302730560302734]"
"[0.010617971420288086, 0.0018301010131835938]"
"[0.010059833526611328, 0.0015323162078857422]"
"[0.010318279266357422, 0.0006837844848632812]"
"[0.01002192497253418, 0.0007200241088867188]"
"[0.010965347290039062, 0.0014271736145019531]"
"[0.010348081588745117, 0.0009400844573974609]"
"[0.010279655456542969, 0.000644683837890625]"
"[0.010160207748413086, 0.0008046627044677734]"
"[0.01059579849243164, 0.0006761550903320312]"
"[0.010517358779907227, 0.0010418891906738281]"
"[0.011609315872192383, 0.00147247314453125]"
"[0.010820627212524414, 0.0009038448333740234]"
"[0.010310649871826172, 0.0010051727294921875]"
"[0.01021432876586914, 0.002468585968017578]"
"[0.01186823844909668, 0.0009348392486572266]"
"[0.01055002212524414, 0.0008337497711181641]"
"[0.010443687438964844, 0.00069427490234375]"
"[0.010675430297851562, 0.00205230712890625]"
"[0.012687206268310547, 0.0009655952453613281]"
"[0.010386943817138672, 0.0007219314575195312]"
"[0.010901689529418945, 0.0008509159088134766]"
"[0.010660171508789062, 0.0007290840148925781]"
"[0.011253833770751953, 0.0015513896942138672]"
"[0.010358333587646484, 0.0010349750518798828]"
"[0.010586261749267578, 0.0014698505401611328]"
"[0.014963150024414062, 0.002604246139526367]"
"[0.014400005340576172, 0.0032444000244140625]"
"[0.01292562484741211, 0.001218557357788086]"
"[0.012511253356933594, 0.0010585784912109375]"
"[0.016373634338378906, 0.0008809566497802734]"
"[0.013600349426269531, 0.002925872802734375]"
"[0.016440153121948242, 0.0012929439544677734]"
"[0.014197349548339844, 0.0010051727294921875]"
"[0.010212898254394531, 0.0007772445678710938]"
"[0.011508941650390625, 0.001337289810180664]"
"[0.011090993881225586, 0.0012526512145996094]"
"[0.013780832290649414, 0.0010056495666503906]"
"[0.010402441024780273, 0.0008456707000732422]"
"[0.010310888290405273, 0.0007102489471435547]"
"[0.010223865509033203, 0.0007998943328857422]"
"[0.010070085525512695, 0.0015058517456054688]"
"[0.010360002517700195, 0.0009675025939941406]"
"[0.012251138687133789, 0.0009357929229736328]"
"[0.010118722915649414, 0.0020971298217773438]"
"[0.010189533233642578, 0.0009298324584960938]"
"[0.010414600372314453, 0.0008554458618164062]"
"[0.010895967483520508, 0.0007836818695068359]"
"[0.010288238525390625, 0.0008747577667236328]"
"[0.011562347412109375, 0.0018994808197021484]"
"[0.010290861129760742, 0.0007834434509277344]"
"[0.010447025299072266, 0.0007452964782714844]"
"[0.011914968490600586, 0.0014963150024414062]"
"[0.014353275299072266, 0.001600503921508789]"
"[0.010297298431396484, 0.0008432865142822266]"
"[0.0105133056640625, 0.0006959438323974609]"
"[0.012749671936035156, 0.0013058185577392578]"
"[0.016759634017944336, 0.0010645389556884766]"
"[0.012331485748291016, 0.0008473396301269531]"
"[0.01350545883178711, 0.0014638900756835938]"
"[0.015857934951782227, 0.0008900165557861328]"
"[0.017972469329833984, 0.001500844955444336]"
"[0.014184951782226562, 0.0022923946380615234]"
"[0.012737035751342773, 0.0010597705841064453]"
"[0.01029205322265625, 0.0009052753448486328]"
"[0.012156009674072266, 0.0012614727020263672]"
"[0.010229349136352539, 0.0007886886596679688]"
"[0.01040506362915039, 0.0006780624389648438]"
"[0.010137796401977539, 0.0008208751678466797]"
"[0.010166168212890625, 0.0017254352569580078]"
"[0.011599063873291016, 0.0011038780212402344]"
"[0.011341094970703125, 0.0023505687713623047]"
"[0.010341405868530273, 0.0008714199066162109]"
"[0.010364055633544922, 0.0006878376007080078]"
"[0.010506629943847656, 0.0007812976837158203]"
"[0.010727167129516602, 0.0010731220245361328]"
"[0.010631322860717773, 0.0007281303405761719]"
"[0.010795831680297852, 0.0012612342834472656]"
"[0.01021122932434082, 0.0012259483337402344]"
"[0.010327339172363281, 0.0008137226104736328]"
"[0.010514020919799805, 0.0007381439208984375]"
"[0.010522603988647461, 0.0014009475708007812]"
"[0.010278940200805664, 0.0015947818756103516]"
"[0.011180400848388672, 0.0014963150024414062]"
"[0.010451078414916992, 0.0008306503295898438]"
"[0.01012563705444336, 0.0006868839263916016]"
"[0.010535001754760742, 0.001041412353515625]"
"[0.010202646255493164, 0.0010802745819091797]"
"[0.010216951370239258, 0.0007250308990478516]"
"[0.010553359985351562, 0.0007436275482177734]"
"[0.010179758071899414, 0.001504659652709961]"
"[0.009757280349731445, 0.001415252685546875]"
"[0.01019144058227539, 0.000835418701171875]"
"[0.010394096374511719, 0.001245737075805664]"
"[0.01002192497253418, 0.001039266586303711]"
"[0.010109186172485352, 0.001611471176147461]"
"[0.011765003204345703, 0.0014657974243164062]"
